NAICS_SUPER,RACE_HISP,RACEHISP_TOTAL,RACEHISP_TOTAL_se,NAICS_TOT,NAICS_TOT_se,RACEHISP_SHARE
31,Non-Hispanic Black,11140,640.3860554384363,97830,2122.9617047888546,0.11387100071552693
31,Non-Hispanic Other,812,195.87585353993992,97830,2122.9617047888546,0.008300112439946846
31,Non-Hispanic White,39838,1018.0016699396912,97830,2122.9617047888546,0.4072166002248799
32,Hispanic AIAN,450,103.80968162941258,173537,2578.270660733663,0.002593106945492892
32,Hispanic Asian,61,45.84157501657202,173537,2578.270660733663,3.515100526112587e-4
32,Hispanic Black,295,120.03520316973683,173537,2578.270660733663,0.0016999256642675625
32,Hispanic Other,22174,1051.334318853903,173537,2578.270660733663,0.12777678535413198
32,Hispanic White,25575,1102.807100085958,173537,2578.270660733663,0.14737491140217937
32,Non-Hispanic AIAN,246,93.25422242451009,173537,2578.270660733663,0.001417565130202781
32,Non-Hispanic Asian,10658,647.6602118395108,173537,2578.270660733663,0.06141629738902943
32,Non-Hispanic Black,15333,711.5119464914135,173537,2578.270660733663,0.08835579732276114
32,Non-Hispanic Other,1632,201.01778528279533,173537,2578.270660733663,0.009404334522320888
32,Non-Hispanic White,97113,1785.5184681206745,173537,2578.270660733663,0.5596097662170028
33,Hispanic AIAN,410,94.7019007201017,353515,3551.634764442988,0.0011597810559665078
33,Hispanic Asian,144,68.59045123047378,353515,3551.634764442988,4.0733773672970027e-4
33,Hispanic Black,575,154.69259840082847,353515,3551.634764442988,0.001626522212635956
33,Hispanic Other,40478,1449.8872714800968,353515,3551.634764442988,0.11450150630100561
33,Hispanic White,52404,1739.565448610658,353515,3551.634764442988,0.14823699135821677
33,Non-Hispanic AIAN,245,75.97137618866728,353515,3551.634764442988,6.930398992970596e-4
33,Non-Hispanic Asian,24183,937.5428790194079,353515,3551.634764442988,0.06840728116204405
33,Non-Hispanic Black,30730,1072.157660980884,353515,3551.634764442988,0.08692700451183118
33,Non-Hispanic Other,3338,341.8642274353958,353515,3551.634764442988,0.009442315036137081
33,Non-Hispanic White,201008,2598.5897617746436,353515,3551.634764442988,0.5685982207261361
3M,Hispanic AIAN,143,72.69250305224054,38678,1585.2455014918037,0.003697192202285537
3M,Hispanic Asian,0,0,38678,1585.2455014918037,0
3M,Hispanic Black,184,75.57148933294884,38678,1585.2455014918037,0.004757226330213558
3M,Hispanic Other,7970,768.2932382886107,38678,1585.2455014918037,0.20606029267283726
3M,Hispanic White,10144,738.3861117328793,38678,1585.2455014918037,0.2622679559439475
3M,Non-Hispanic AIAN,51,44.65982534672521,38678,1585.2455014918037,0.001318579037178758
3M,Non-Hispanic Asian,1329,208.96112078566193,38678,1585.2455014918037,0.03436061843942293
3M,Non-Hispanic Black,5030,437.8974194945661,38678,1585.2455014918037,0.13004808935312065
3M,Non-Hispanic Other,382,110.28531180533517,38678,1585.2455014918037,0.009876415533378148
3M,Non-Hispanic White,13445,834.8130030132496,38678,1585.2455014918037,0.3476136304876157
42,Hispanic AIAN,248,71.57478606324996,169170,2292.6087106176665,0.0014659809658922978
42,Hispanic Asian,84,47.846107469678245,169170,2292.6087106176665,4.965419400602943e-4
42,Hispanic Black,231,82.06643650116655,169170,2292.6087106176665,0.0013654903351658096
42,Hispanic Other,15485,828.2940299193276,169170,2292.6087106176665,0.0915351421646864
42,Hispanic White,19362,810.2828209952374,169170,2292.6087106176665,0.11445291718389786
42,Non-Hispanic AIAN,339,118.8804020854573,169170,2292.6087106176665,0.0020039014009576167
42,Non-Hispanic Asian,10545,710.2001126443166,169170,2292.6087106176665,0.062333747118283385
42,Non-Hispanic Black,14352,885.9769184352378,169170,2292.6087106176665,0.08483773718744458
42,Non-Hispanic Other,1444,288.4185326916424,169170,2292.6087106176665,0.008535792398179346
42,Non-Hispanic White,107080,1921.4498822503804,169170,2292.6087106176665,0.6329727493054325
44,Hispanic AIAN,517,112.46799544759389,400101,4041.4531050106225,0.001292173726134151
44,Hispanic Asian,192,68.49343034189484,400101,4041.4531050106225,4.798788305952747e-4
44,Hispanic Black,824,186.86773397245443,400101,4041.4531050106225,0.0020594799813047206
44,Hispanic Other,31544,1237.9040148573717,400101,4041.4531050106225,0.07884009287654867
44,Hispanic White,48534,1486.022812745484,400101,4041.4531050106225,0.12130437064641178
44,Non-Hispanic AIAN,260,79.64326713539569,400101,4041.4531050106225,6.498359164311011e-4
44,Non-Hispanic Asian,25339,954.3390906800371,400101,4041.4531050106225,0.0633315087940295
44,Non-Hispanic Black,50336,1266.4147622323424,400101,4041.4531050106225,0.12580823342106118
44,Non-Hispanic Other,6644,602.175057603684,400101,4041.4531050106225,0.016605807033723986
44,Non-Hispanic White,235911,2618.9138779272603,400101,4041.4531050106225,0.5896286187737596
45,Hispanic AIAN,204,77.40833288477411,200463,2496.6848219188582,0.0010176441537839902
45,Hispanic Asian,46,35.96248044837842,200463,2496.6848219188582,2.294687797748213e-4
45,Hispanic Black,396,127.21359990189728,200463,2496.6848219188582,0.001975426886757157
45,Hispanic Other,13606,850.6926295672251,200463,2496.6848219188582,0.06787287429600475
45,Hispanic White,20248,852.9286898680335,200463,2496.6848219188582,0.10100617071479524
45,Non-Hispanic AIAN,200,82.68192063565046,200463,2496.6848219188582,9.97690346847049e-4
45,Non-Hispanic Asian,11587,599.9175359997406,200463,2496.6848219188582,0.057801190244583786
45,Non-Hispanic Black,35147,1201.3744420454432,200463,2496.6848219188582,0.17532911310316618
45,Non-Hispanic Other,3109,335.53874589978426,200463,2496.6848219188582,0.015509096441737378
45,Non-Hispanic White,115920,1929.1485168332686,200463,2496.6848219188582,0.5782613250325497
48,Hispanic AIAN,383,118.48396515984768,213292,3325.5865347333847,0.0017956604092042832
48,Hispanic Asian,78,44.510111210824896,213292,3325.5865347333847,3.6569585357162953e-4
48,Hispanic Black,388,141.7698839669413,213292,3325.5865347333847,0.0018191024510999007
48,Hispanic Other,13508,781.2399759356916,213292,3325.5865347333847,0.06333102038519964
48,Hispanic White,20263,1041.974663799461,213292,3325.5865347333847,0.09500121898617857
48,Non-Hispanic AIAN,134,65.30696746902278,213292,3325.5865347333847,6.28246722802543e-4
48,Non-Hispanic Asian,11170,760.4598608736691,213292,3325.5865347333847,0.052369521594808996
48,Non-Hispanic Black,45625,1418.4796262195662,213292,3325.5865347333847,0.21390863229750764
48,Non-Hispanic Other,2775,332.3929150869495,213292,3325.5865347333847,0.013010333252067588
48,Non-Hispanic White,118968,2286.57328769493,213292,3325.5865347333847,0.5577705680475592
49,Hispanic AIAN,129,77.8488920923092,80531,1851.5946910703758,0.001601867603779911
49,Hispanic Asian,0,0,80531,1851.5946910703758,0
49,Hispanic Black,117,58.66600378413379,80531,1851.5946910703758,0.0014528566638934075
49,Hispanic Other,6793,525.738100198188,80531,1851.5946910703758,0.08435260955408476
49,Hispanic White,8848,625.4167010881625,80531,1851.5946910703758,0.10987073300964846
49,Non-Hispanic AIAN,124,55.73194774992168,80531,1851.5946910703758,0.0015397797121605346
49,Non-Hispanic Asian,2891,321.5803943028866,80531,1851.5946910703758,0.03589921893432343
49,Non-Hispanic Black,28515,1186.0939465320612,80531,1851.5946910703758,0.35408724590530355
49,Non-Hispanic Other,937,178.77178188964834,80531,1851.5946910703758,0.011635270889471135
49,Non-Hispanic White,32177,982.8092134285271,80531,1851.5946910703758,0.3995604177273348
4M,Hispanic AIAN,34,28.794964837623958,24114,1130.8802765987211,0.0014099693124326117
4M,Hispanic Asian,0,0,24114,1130.8802765987211,0
4M,Hispanic Black,36,25.533311575273586,24114,1130.8802765987211,0.001492908683752177
