NAICS_SUPER,RACE2,RACE_TOTAL,RACE_TOTAL_se,NAICS_TOT,NAICS_TOT_se,RACE_SHARE
42,Other Race,16929,908.4429261103859,169170,2292.6087106176665,0.10007093456286575
42,White,126442,2092.523118151864,169170,2292.6087106176665,0.7474256664893303
44,AIAN,777,141.18108938522894,400101,4041.4531050106225,0.0019420096425652523
44,Asian,25531,958.443503812301,400101,4041.4531050106225,0.06381138762462478
44,Black,51160,1252.5311173779278,400101,4041.4531050106225,0.1278677134023659
44,Other Race,38188,1390.7791161791292,400101,4041.4531050106225,0.09544589991027265
44,White,284445,3202.440054083761,400101,4041.4531050106225,0.7109329894201714
45,AIAN,404,110.4560998768289,200463,2496.6848219188582,0.002015334500631039
45,Asian,11633,593.6296404324838,200463,2496.6848219188582,0.05803065902435861
45,Black,35543,1229.4577463255905,200463,2496.6848219188582,0.17730453998992332
45,Other Race,16715,905.7454940544833,200463,2496.6848219188582,0.08338197073774213
45,White,136168,2111.640937754333,200463,2496.6848219188582,0.6792674957473449
48,AIAN,517,133.16249471979714,213292,3325.5865347333847,0.0024239071320068264
48,Asian,11248,758.975328979803,213292,3325.5865347333847,0.052735217448380625
48,Black,46013,1420.9588839934813,213292,3325.5865347333847,0.21572773474860754
48,Other Race,16283,858.3681902307425,213292,3325.5865347333847,0.07634135363726723
48,White,139231,2662.3050163345297,213292,3325.5865347333847,0.6527717870337378
49,AIAN,253,82.22590832578257,80531,1851.5946910703758,0.0031416473159404453
49,Asian,2891,321.5803943028866,80531,1851.5946910703758,0.03589921893432343
49,Black,28632,1192.2062950680977,80531,1851.5946910703758,0.35554010256919694
49,Other Race,7730,556.5027403346726,80531,1851.5946910703758,0.0959878804435559
49,White,41025,1222.7444949784071,80531,1851.5946910703758,0.5094311507369833
4M,AIAN,34,28.794964837623958,24114,1130.8802765987211,0.0014099693124326117
4M,Asian,1615,256.7622441092148,24114,1130.8802765987211,0.06697354234054906
4M,Black,4186,420.67766757934754,24114,1130.8802765987211,0.17359210417185036
4M,Other Race,1753,306.1387757210772,24114,1130.8802765987211,0.07269635896159907
4M,White,16526,951.1088002957391,24114,1130.8802765987211,0.6853280252135688
51,AIAN,145,72.52516804530687,121060,2064.7885363881696,0.0011977531802412028
51,Asian,7641,528.2206925140287,121060,2064.7885363881696,0.06311746241533124
51,Black,18622,958.4310616836248,121060,2064.7885363881696,0.15382454981001156
51,Other Race,7278,621.1961445469539,121060,2064.7885363881696,0.06011894928134809
