INDNAICS,TOT_EMP,TOT_EMP_se,MED_TOT_INC_NAICS_q50,MED_TOT_INC_NAICS_q50_se,MED_WAGE_INC_NAICS_q50,MED_WAGE_INC_NAICS_q50_se,MED_TOT_INC_q50,MED_WAGE_INC_q50,MFG,MED_INC_DUMMY,MED_WAGE_DUMMY
722Z,277448,3662.3833291997166,15618,184.25,15e3,141.25,4e4,36e3,0,0,0
811192,4562,433.0668539613717,17138.125,1651.8266937622275,15176,2387.3812774140506,4e4,36e3,0,0,0
8111Z,32236,1135.6591257943558,30969,1039.8298820329483,27473,1046.3318518716906,4e4,36e3,0,0,0
8112,5208,437.9809356581631,40030.61538461538,3522.0203216022073,37939,2999.1553596837557,4e4,36e3,0,1,1
8113,6197,568.1881290558612,38893.16470588235,3241.611849649341,33034,2977.976895082961,4e4,36e3,0,0,0
8114,4370,410.17673020296996,28745.45070422535,1770.8888962587225,21034.384615384613,3411.1259953305803,4e4,36e3,0,0,0
812111,2965,376.24951827211686,22048.928571428572,2483.418990808799,4579,3212.4626996383736,4e4,36e3,0,0,0
812112,32142,1033.1610232679125,20015.681818181816,451.6024713878651,15e3,820.1389803670654,4e4,36e3,0,0,0
8121M,10588,619.5673893935993,16e3,1515.1239335472965,10782.315789473683,526.6798747090106,4e4,36e3,0,0,0
8122,3063,340.36553879615957,49828.5,2686.7408218151904,37151.90243902439,4060.5199754761416,4e4,36e3,0,1,1
8123,10678,652.998430319706,22500,1007,19892.052631578947,1153.4849805670292,4e4,36e3,0,0,0
8129,12416,591.067297352848,22749.545454545456,1330.75,18021,1482.676729312937,4e4,36e3,0,0,0
8131,30771,969.3687894707566,31616,989.2703967317702,25808,1205.6825288964137,4e4,36e3,0,0,0
81393,3592,421.9651051923607,61116.294117647056,6650.363180991801,57950.25,6013.248645376896,4e4,36e3,0,1,1
8139Z,9029,509.4742387991762,60070.9,2964.4777288449095,59017,2598.108341285857,4e4,36e3,0,1,1
813M,22657,796.3678170292922,38044,1188.4561437579669,35614,1153.7439138980371,4e4,36e3,0,0,0
814,22854,1019.4524020276768,15017,516.0503593174917,286.4166666666683,516.25,4e4,36e3,0,0,0
92113,5717,495.33387729893866,68502,3454.7384222852925,66140,2852.38786806232,4e4,36e3,0,1,1
92119,3351,380.55584347109954,61515.62499999999,6015.389508819415,55053.21428571428,5788.643346952787,4e4,36e3,0,1,1
9211MP,26217,939.3635611412654,52694,1389.153371690305,50058,1509.481697582276,4e4,36e3,0,1,1
923,19137,809.5755060524003,50058,1608.4785099640394,48697.19230769231,1264.5,4e4,36e3,0,1,1
928110P1,1198,283.6564823867066,55637,11536.833420482559,55637,11566.74316860748,4e4,36e3,0,1,1
928110P2,356,158.15198386362405,71023.52,23423.92203794019,71023.52,23081.254305873143,4e4,36e3,0,1,1
928110P3,10127,596.3496457616119,18937.5,904.134569586191,18582,946.1942808028507,4e4,36e3,0,0,0
928110P4,398,129.45926000097484,35e3,14776.34471887767,35e3,14776.34471887767,4e4,36e3,0,0,0
928110P5,129,83.57362023988192,21944.65,2340.943630993668,21944.65,2340.943630993668,4e4,36e3,0,0,0
928110P6,681,222.95728290414738,18970,6495.282437322747,18970,6646.695398538006,4e4,36e3,0,0,0
928110P7,45,38.28576759058123,63232,0,63232,0,4e4,36e3,0,1,1
928P,10367,701.8538665562796,50591.16666666667,2605.769794719401,46838.97368421053,1867.5614589610705,4e4,36e3,0,1,1
92M1,3251,312.00368587566396,73008,5596.0396795001125,72117.75000000001,5980.60317507676,4e4,36e3,0,1,1
92M2,7679,525.4001808145864,66237.56521739131,2226.2392753553268,64069.126582278484,2500,4e4,36e3,0,1,1
92MP,75546,1820.1715853182634,72e3,922.5,7e4,1031.5,4e4,36e3,0,1,1
