INDNAICS,TOT_EMP,TOT_EMP_se,MED_TOT_INC_NAICS_q50,MED_TOT_INC_NAICS_q50_se,MED_WAGE_INC_NAICS_q50,MED_WAGE_INC_NAICS_q50_se,MED_TOT_INC_q50,MED_WAGE_INC_q50,MFG,MED_INC_DUMMY,MED_WAGE_DUMMY
33311,2684,366.6061919826232,46336.03571428572,4882.560820756011,46166.21428571428,5175.19559067095,4e4,36e3,1,1,1
3331M,7726,536.6812368622551,61062.42857142857,4463.091966480315,59552.63999999999,4850.788737029739,4e4,36e3,1,1,1
3333,4480,392.721020573129,50590,2850.715415427474,49093.65573770492,2610.6518617311067,4e4,36e3,1,1,1
3335,8668,569.2296109655576,52912,2756.2240444087947,51464.619047619046,2573.3317012698444,4e4,36e3,1,1,1
3336,2730,331.502111607151,60953.9,6005.032769586072,53217.6,4782.949710954459,4e4,36e3,1,1,1
333MS,25128,794.7457769626714,50877,1278.4116416020934,50058,1396.5441478186713,4e4,36e3,1,1,1
3341,3656,319.60358258317444,74324.04347826088,7003.761040128167,73141.91666666667,6833.318929649922,4e4,36e3,1,1,1
3345,7301,484.7125952561992,64013.4375,3004.1452941997522,63232,3453.0069591492975,4e4,36e3,1,1,1
334M1,11913,608.3904585050624,95497.2,3782.75,93202.20297029703,3392.0100316637363,4e4,36e3,1,1,1
334M2,16921,880.0276700195285,55107.239583333336,2557.503986135651,52694,2939.6222883435476,4e4,36e3,1,1,1
3352,1712,241.39065847708358,46657.142857142855,6421.16786514659,45666.66666666667,6858.902056177083,4e4,36e3,1,1,1
335M,17872,820.2008900263398,44263,1824.9006746902287,42062.26666666666,1591.1999787981476,4e4,36e3,1,1,1
33641M1,3617,379.16849816407483,61773.83720930233,4747.564638223559,6e4,4020.6214562086443,4e4,36e3,1,1,1
33641M2,2615,340.8023620810161,67741.59615384616,5975.3118082560795,65104.03333333334,5996.905296433868,4e4,36e3,1,1,1
3365,2568,288.4196595241039,52578.333333333336,4904.242729364276,51099.846153846156,4433.771959324662,4e4,36e3,1,1,1
3366,523,176.27705466112147,40177.071428571435,12871.674511699159,36670.84210526316,12776.19737884706,4e4,36e3,1,1,1
3369,522,130.15740470676266,41808.333333333336,12833.387199550265,35933,13310.492060455756,4e4,36e3,1,1,0
336M,31729,1034.022606135862,45720.05357142857,2285.2488183111036,45e3,2299.5728012024283,4e4,36e3,1,1,1
337,11890,787.5213012992093,30969,1718.833419232019,30526,1538.993050575239,4e4,36e3,1,0,0
